会社名,四半期,区分,科目,前期末,当期末
アルファ工業,2025Q1,BS,その他流動負債,,2900
アルファ工業,2025Q1,BS,長期借入金,,28800
アルファ工業,2025Q1,BS,その他固定負債,,600
アルファ工業,2025Q1,BS,退職給付引当金,,4500
アルファ工業,2025Q1,BS,純資産合計,,60500
アルファ工業,2025Q1,PL,売上高,,81500
アルファ工業,2025Q1,PL,営業利益,,6200
アルファ工業,2025Q1,PL,税引前当期純利益,,5700
アルファ工業,2025Q1,PL,減価償却費,,5700
アルファ工業,2025Q1,PL,受取利息及び受取配当金,,400
アルファ工業,2025Q1,PL,支払利息,,900
アルファ工業,2025Q1,PL,法人税等,,1800
アルファ工業,2025Q1,SS,剰余金の配当(配当金の支払額),,1000
アルファ工業,2025Q2,BS,現金及び預金,,42000
アルファ工業,2025Q2,BS,預け金,,10300
アルファ工業,2025Q2,BS,営業債権,,26700
アルファ工業,2025Q2,BS,棚卸資産,,5600
アルファ工業,2025Q2,BS,その他流動資産,,2600
アルファ工業,2025Q2,BS,有形固定資産(純額),,41300
アルファ工業,2025Q2,BS,投資その他の資産,,7700
アルファ工業,2025Q2,BS,営業債務,,29200
アルファ工業,2025Q2,BS,短期借入金,,12000
アルファ工業,2025Q2,BS,その他流動負債,,2600
アルファ工業,2025Q2,BS,長期借入金,,25800
アルファ工業,2025Q2,BS,その他固定負債,,1200
アルファ工業,2025Q2,BS,退職給付引当金,,4800
アルファ工業,2025Q2,BS,純資産合計,,60600
アルファ工業,2025Q2,PL,売上高,,83100
アルファ工業,2025Q2,PL,営業利益,,3700
アルファ工業,2025Q2,PL,税引前当期純利益,,3200
アルファ工業,2025Q2,PL,減価償却費,,3400
アルファ工業,2025Q2,PL,受取利息及び受取配当金,,200
アルファ工業,2025Q2,PL,支払利息,,700
アルファ工業,2025Q2,PL,法人税等,,1000
アルファ工業,2025Q2,SS,自己株式の取得,,2100
アルファ工業,2025Q3,BS,現金及び預金,,41900
アルファ工業,2025Q3,BS,預け金,,10900
アルファ工業,2025Q3,BS,営業債権,,28100
アルファ工業,2025Q3,BS,棚卸資産,,6800
アルファ工業,2025Q3,BS,その他流動資産,,2600
アルファ工業,2025Q3,BS,有形固定資産(純額),,43900
アルファ工業,2025Q3,BS,投資その他の資産,,7300
アルファ工業,2025Q3,BS,営業債務,,30400
アルファ工業,2025Q3,BS,短期借入金,,13700
アルファ工業,2025Q3,BS,その他流動負債,,1900
アルファ工業,2025Q3,BS,長期借入金,,25800
アルファ工業,2025Q3,BS,その他固定負債,,1600
アルファ工業,2025Q3,BS,退職給付引当金,,5100
アルファ工業,2025Q3,BS,純資産合計,,63000
アルファ工業,2025Q3,PL,売上高,,81700
アルファ工業,2025Q3,PL,営業利益,,3300
アルファ工業,2025Q3,PL,税引前当期純利益,,2700
アルファ工業,2025Q3,PL,減価償却費,,3300
アルファ工業,2025Q3,PL,受取利息及び受取配当金,,400
アルファ工業,2025Q3,PL,支払利息,,1000
アルファ工業,2025Q3,PL,法人税等,,900
アルファ工業,2025Q3,SS,剰余金の配当(配当金の支払額),,700
アルファ工業,2025Q3,SS,自己株式の処分,,1300
アルファ工業,2025Q4,BS,現金及び預金,,42100
アルファ工業,2025Q4,BS,預け金,,10000
アルファ工業,2025Q4,BS,営業債権,,31500
アルファ工業,2025Q4,BS,棚卸資産,,5900
アルファ工業,2025Q4,BS,その他流動資産,,2400
アルファ工業,2025Q4,BS,有形固定資産(純額),,46700
アルファ工業,2025Q4,BS,投資その他の資産,,7900
アルファ工業,2025Q4,BS,営業債務,,30500
アルファ工業,2025Q4,BS,短期借入金,,15200
アルファ工業,2025Q4,BS,その他流動負債,,2400
アルファ工業,2025Q4,BS,長期借入金,,27900
アルファ工業,2025Q4,BS,その他固定負債,,1600
アルファ工業,2025Q4,BS,退職給付引当金,,5200
アルファ工業,2025Q4,BS,純資産合計,,63700
アルファ工業,2025Q4,PL,売上高,,81800
アルファ工業,2025Q4,PL,営業利益,,2000
アルファ工業,2025Q4,PL,税引前当期純利益,,1100
アルファ工業,2025Q4,PL,減価償却費,,2400
アルファ工業,2025Q4,PL,受取利息及び受取配当金,,300
アルファ工業,2025Q4,PL,支払利息,,1200
アルファ工業,2025Q4,PL,法人税等,,400
アルファ工業,2026Q1,BS,現金及び預金,,54400
アルファ工業,2026Q1,BS,預け金,,10900
アルファ工業,2026Q1,BS,営業債権,,29300
アルファ工業,2026Q1,BS,棚卸資産,,4600
アルファ工業,2026Q1,BS,その他流動資産,,2300
アルファ工業,2026Q1,BS,有形固定資産(純額),,45100
アルファ工業,2026Q1,BS,投資その他の資産,,9300
アルファ工業,2026Q1,BS,営業債務,,33000
アルファ工業,2026Q1,BS,短期借入金,,18200
アルファ工業,2026Q1,BS,その他流動負債,,1900
アルファ工業,2026Q1,BS,長期借入金,,30500
アルファ工業,2026Q1,BS,その他固定負債,,1400
アルファ工業,2026Q1,BS,退職給付引当金,,6000
アルファ工業,2026Q1,BS,純資産合計,,64900
アルファ工業,2026Q1,PL,売上高,,79900
アルファ工業,2026Q1,PL,営業利益,,2600
アルファ工業,2026Q1,PL,税引前当期純利益,,2300
アルファ工業,2026Q1,PL,減価償却費,,4800
アルファ工業,2026Q1,PL,受取利息及び受取配当金,,100
アルファ工業,2026Q1,PL,支払利息,,400
アルファ工業,2026Q1,PL,法人税等,,700
アルファ工業,2026Q1,SS,剰余金の配当(配当金の支払額),,400
ブライト電機,2023Q4,BS,現金及び預金,12400,6200
ブライト電機,2023Q4,BS,預け金,3800,5400
ブライト電機,2023Q4,BS,営業債権,19200,17600
ブライト電機,2023Q4,BS,棚卸資産,6100,7300
ブライト電機,2023Q4,BS,その他流動資産,2800,3300
ブライト電機,2023Q4,BS,有形固定資産(純額),21300,23200
ブライト電機,2023Q4,BS,投資その他の資産,2200,3600
ブライト電機,2023Q4,BS,営業債務,15100,14000
ブライト電機,2023Q4,BS,短期借入金,2700,4500
ブライト電機,2023Q4,BS,その他流動負債,3200,2300
ブライト電機,2023Q4,BS,長期借入金,11800,7800
ブライト電機,2023Q4,BS,その他固定負債,5700,6100
ブライト電機,2023Q4,BS,退職給付引当金,6800,7000
ブライト電機,2023Q4,BS,純資産合計,22500,24900
ブライト電機,2023Q4,PL,売上高,,48800
ブライト電機,2023Q4,PL,営業利益,,4400
ブライト電機,2023Q4,PL,税引前当期純利益,,3600
ブライト電機,2023Q4,PL,減価償却費,,3000
ブライト電機,2023Q4,PL,受取利息及び受取配当金,,100
ブライト電機,2023Q4,PL,支払利息,,900
ブライト電機,2023Q4,PL,法人税等,,1200
ブライト電機,2024Q1,BS,現金及び預金,,3500
ブライト電機,2024Q1,BS,預け金,,8200
ブライト電機,2024Q1,BS,営業債権,,19200
ブライト電機,2024Q1,BS,棚卸資産,,5800
ブライト電機,2024Q1,BS,その他流動資産,,2800
ブライト電機,2024Q1,BS,有形固定資産(純額),,23000
ブライト電機,2024Q1,BS,投資その他の資産,,4200
ブライト電機,2024Q1,BS,営業債務,,13400
ブライト電機,2024Q1,BS,短期借入金,,1800
ブライト電機,2024Q1,BS,その他流動負債,,1900
ブライト電機,2024Q1,BS,長期借入金,,9100
ブライト電機,2024Q1,BS,その他固定負債,,6900
ブライト電機,2024Q1,BS,退職給付引当金,,6900
ブライト電機,2024Q1,BS,純資産合計,,26700
ブライト電機,2024Q1,PL,売上高,,47500
ブライト電機,2024Q1,PL,営業利益,,4100
ブライト電機,2024Q1,PL,税引前当期純利益,,3300
ブライト電機,2024Q1,PL,減価償却費,,1600
ブライト電機,2024Q1,PL,受取利息及び受取配当金,,100
ブライト電機,2024Q1,PL,支払利息,,900
ブライト電機,2024Q1,PL,法人税等,,1100
ブライト電機,2024Q1,SS,剰余金の配当(配当金の支払額),,400
ブライト電機,2024Q2,BS,現金及び預金,,1200
ブライト電機,2024Q2,BS,預け金,,6700
ブライト電機,2024Q2,BS,営業債権,,21700
ブライト電機,2024Q2,BS,棚卸資産,,5600
ブライト電機,2024Q2,BS,その他流動資産,,2600
ブライト電機,2024Q2,BS,有形固定資産(純額),,25300
ブライト電機,2024Q2,BS,投資その他の資産,,5500
ブライト電機,2024Q2,BS,営業債務,,12200
ブライト電機,2024Q2,BS,短期借入金,,4500
ブライト電機,2024Q2,BS,その他流動負債,,2200
ブライト電機,2024Q2,BS,長期借入金,,8600
ブライト電機,2024Q2,BS,その他固定負債,,6600
ブライト電機,2024Q2,BS,退職給付引当金,,6900
ブライト電機,2024Q2,BS,純資産合計,,27600
ブライト電機,2024Q2,PL,売上高,,47000
ブライト電機,2024Q2,PL,営業利益,,2100
ブライト電機,2024Q2,PL,税引前当期純利益,,1300
ブライト電機,2024Q2,PL,減価償却費,,2200
ブライト電機,2024Q2,PL,受取利息及び受取配当金,,300
ブライト電機,2024Q2,PL,支払利息,,1100
ブライト電機,2024Q2,PL,法人税等,,400
ブライト電機,2024Q3,BS,現金及び預金,,500
ブライト電機,2024Q3,BS,預け金,,4300
ブライト電機,2024Q3,BS,営業債権,,24300
ブライト電機,2024Q3,BS,棚卸資産,,6300
ブライト電機,2024Q3,BS,その他流動資産,,2500
ブライト電機,2024Q3,BS,有形固定資産(純額),,27600
ブライト電機,2024Q3,BS,投資その他の資産,,6500
ブライト電機,2024Q3,BS,営業債務,,12800
ブライト電機,2024Q3,BS,短期借入金,,4600
ブライト電機,2024Q3,BS,その他流動負債,,1300
ブライト電機,2024Q3,BS,長期借入金,,8400
ブライト電機,2024Q3,BS,その他固定負債,,6700
ブライト電機,2024Q3,BS,退職給付引当金,,7600
ブライト電機,2024Q3,BS,純資産合計,,30600
ブライト電機,2024Q3,PL,売上高,,47100
ブライト電機,2024Q3,PL,営業利益,,6800
ブライト電機,2024Q3,PL,税引前当期純利益,,5900
ブライト電機,2024Q3,PL,減価償却費,,3900
ブライト電機,2024Q3,PL,受取利息及び受取配当金,,200
ブライト電機,2024Q3,PL,支払利息,,700
ブライト電機,2024Q3,PL,固定資産売却損益(益は+、損は−),,-400
ブライト電機,2024Q3,PL,法人税等,,1900
ブライト電機,2024Q3,補足,有形固定資産の売却による収入,,1700
ブライト電機,2024Q3,SS,剰余金の配当(配当金の支払額),,1000
ブライト電機,2024Q4,BS,現金及び預金,,500
ブライト電機,2024Q4,BS,預け金,,4400
ブライト電機,2024Q4,BS,営業債権,,28000
ブライト電機,2024Q4,BS,棚卸資産,,8000
ブライト電機,2024Q4,BS,その他流動資産,,2800
ブライト電機,2024Q4,BS,有形固定資産(純額),,30300
ブライト電機,2024Q4,BS,投資その他の資産,,7800
ブライト電機,2024Q4,BS,営業債務,,12700
ブライト電機,2024Q4,BS,短期借入金,,11800
ブライト電機,2024Q4,BS,その他流動負債,,1400
ブライト電機,2024Q4,BS,長期借入金,,11800
ブライト電機,2024Q4,BS,その他固定負債,,6600
ブライト電機,2024Q4,BS,退職給付引当金,,7300
ブライト電機,2024Q4,BS,純資産合計,,30200
ブライト電機,2024Q4,PL,売上高,,45300
ブライト電機,2024Q4,PL,営業利益,,-500
ブライト電機,2024Q4,PL,税引前当期純利益,,-400
ブライト電機,2024Q4,PL,減価償却費,,1800
ブライト電機,2024Q4,PL,受取利息及び受取配当金,,400
ブライト電機,2024Q4,PL,支払利息,,300
ブライト電機,2025Q1,BS,現金及び預金,,2700
ブライト電機,2025Q1,BS,預け金,,3400
ブライト電機,2025Q1,BS,営業債権,,30300
ブライト電機,2025Q1,BS,棚卸資産,,10400
ブライト電機,2025Q1,BS,その他流動資産,,2700
ブライト電機,2025Q1,BS,有形固定資産(純額),,29700
ブライト電機,2025Q1,BS,投資その他の資産,,9300
ブライト電機,2025Q1,BS,営業債務,,15700
ブライト電機,2025Q1,BS,短期借入金,,11600
ブライト電機,2025Q1,BS,その他流動負債,,2400
ブライト電機,2025Q1,BS,長期借入金,,11900
ブライト電機,2025Q1,BS,その他固定負債,,6300
ブライト電機,2025Q1,BS,退職給付引当金,,7700
ブライト電機,2025Q1,BS,純資産合計,,32900
ブライト電機,2025Q1,PL,売上高,,45600
ブライト電機,2025Q1,PL,営業利益,,6700
ブライト電機,2025Q1,PL,税引前当期純利益,,7100
ブライト電機,2025Q1,PL,減価償却費,,4900
ブライト電機,2025Q1,PL,受取利息及び受取配当金,,100
ブライト電機,2025Q1,PL,支払利息,,400
ブライト電機,2025Q1,PL,固定資産売却損益(益は+、損は−),,700
ブライト電機,2025Q1,PL,法人税等,,2300
ブライト電機,2025Q1,補足,有形固定資産の売却による収入,,2500
ブライト電機,2025Q1,SS,剰余金の配当(配当金の支払額),,2100
ブライト電機,2025Q2,BS,現金及び預金,,5300
ブライト電機,2025Q2,BS,預け金,,5600
ブライト電機,2025Q2,BS,営業債権,,28700
ブライト電機,2025Q2,BS,棚卸資産,,12600
ブライト電機,2025Q2,BS,その他流動資産,,3200
ブライト電機,2025Q2,BS,有形固定資産(純額),,27900
ブライト電機,2025Q2,BS,投資その他の資産,,9000
ブライト電機,2025Q2,BS,営業債務,,17800
ブライト電機,2025Q2,BS,短期借入金,,10400
ブライト電機,2025Q2,BS,その他流動負債,,1900
ブライト電機,2025Q2,BS,長期借入金,,8200
ブライト電機,2025Q2,BS,その他固定負債,,7000
ブライト電機,2025Q2,BS,退職給付引当金,,7500
ブライト電機,2025Q2,BS,純資産合計,,39500
ブライト電機,2025Q2,PL,売上高,,44600
ブライト電機,2025Q2,PL,営業利益,,4500
ブライト電機,2025Q2,PL,税引前当期純利益,,4200
ブライト電機,2025Q2,PL,減価償却費,,4600
ブライト電機,2025Q2,PL,受取利息及び受取配当金,,300
ブライト電機,2025Q2,PL,支払利息,,700
ブライト電機,2025Q2,PL,固定資産売却損益(益は+、損は−),,100
ブライト電機,2025Q2,PL,法人税等,,1300
ブライト電機,2025Q2,補足,有形固定資産の売却による収入,,1100
ブライト電機,2025Q2,SS,新株の発行(増資),,6000
ブライト電機,2025Q2,SS,自己株式の取得,,2300
ブライト電機,2025Q3,BS,現金及び預金,,18500
ブライト電機,2025Q3,BS,預け金,,3200
ブライト電機,2025Q3,BS,営業債権,,26600
ブライト電機,2025Q3,BS,棚卸資産,,10800
ブライト電機,2025Q3,BS,その他流動資産,,3000
ブライト電機,2025Q3,BS,有形固定資産(純額),,26300
ブライト電機,2025Q3,BS,投資その他の資産,,8500
ブライト電機,2025Q3,BS,営業債務,,19600
ブライト電機,2025Q3,BS,短期借入金,,8900
ブライト電機,2025Q3,BS,その他流動負債,,2700
ブライト電機,2025Q3,BS,長期借入金,,10400
ブライト電機,2025Q3,BS,その他固定負債,,7700
ブライト電機,2025Q3,BS,退職給付引当金,,7500
ブライト電機,2025Q3,BS,純資産合計,,40100
ブライト電機,2025Q3,PL,売上高,,44600
ブライト電機,2025Q3,PL,営業利益,,1300
ブライト電機,2025Q3,PL,税引前当期純利益,,1100
ブライト電機,2025Q3,PL,減価償却費,,4700
ブライト電機,2025Q3,PL,受取利息及び受取配当金,,200
ブライト電機,2025Q3,PL,支払利息,,1000
ブライト電機,2025Q3,PL,固定資産売却損益(益は+、損は−),,600
ブライト電機,2025Q3,PL,法人税等,,400
ブライト電機,2025Q3,補足,有形固定資産の売却による収入,,1500
ブライト電機,2025Q3,SS,剰余金の配当(配当金の支払額),,100
ブライト電機,2025Q4,BS,現金及び預金,,9800
ブライト電機,2025Q4,BS,預け金,,2400
ブライト電機,2025Q4,BS,営業債権,,29700
ブライト電機,2025Q4,BS,棚卸資産,,10200
ブライト電機,2025Q4,BS,その他流動資産,,3400
ブライト電機,2025Q4,BS,有形固定資産(純額),,28200
ブライト電機,2025Q4,BS,投資その他の資産,,9300
ブライト電機,2025Q4,BS,営業債務,,17300
ブライト電機,2025Q4,BS,短期借入金,,8400
ブライト電機,2025Q4,BS,その他流動負債,,2600
ブライト電機,2025Q4,BS,長期借入金,,10700
ブライト電機,2025Q4,BS,その他固定負債,,7900
ブライト電機,2025Q4,BS,退職給付引当金,,7300
ブライト電機,2025Q4,BS,純資産合計,,38800
ブライト電機,2025Q4,PL,売上高,,42400
ブライト電機,2025Q4,PL,営業利益,,-200
ブライト電機,2025Q4,PL,税引前当期純利益,,-1300
ブライト電機,2025Q4,PL,減価償却費,,2600
ブライト電機,2025Q4,PL,受取利息及び受取配当金,,400
ブライト電機,2025Q4,PL,支払利息,,1100
ブライト電機,2025Q4,PL,固定資産売却損益(益は+、損は−),,-400
ブライト電機,2025Q4,補足,有形固定資産の売却による収入,,3700
ブライト電機,2026Q1,BS,現金及び預金,,5200
ブライト電機,2026Q1,BS,預け金,,1300
ブライト電機,2026Q1,BS,営業債権,,31900
ブライト電機,2026Q1,BS,棚卸資産,,12100
ブライト電機,2026Q1,BS,その他流動資産,,3200
ブライト電機,2026Q1,BS,有形固定資産(純額),,33100
ブライト電機,2026Q1,BS,投資その他の資産,,9300
ブライト電機,2026Q1,BS,営業債務,,17300
ブライト電機,2026Q1,BS,短期借入金,,9400
ブライト電機,2026Q1,BS,その他流動負債,,2700
ブライト電機,2026Q1,BS,長期借入金,,8400
ブライト電機,2026Q1,BS,その他固定負債,,7900
ブライト電機,2026Q1,BS,退職給付引当金,,8100
ブライト電機,2026Q1,BS,純資産合計,,42300
ブライト電機,2026Q1,PL,売上高,,40300
ブライト電機,2026Q1,PL,営業利益,,6300
ブライト電機,2026Q1,PL,税引前当期純利益,,6500
ブライト電機,2026Q1,PL,減価償却費,,3400
ブライト電機,2026Q1,PL,受取利息及び受取配当金,,300
ブライト電機,2026Q1,PL,支払利息,,100
ブライト電機,2026Q1,PL,法人税等,,2100
ブライト電機,2026Q1,SS,剰余金の配当(配当金の支払額),,900
シーサイド物流,2023Q4,BS,現金及び預金,13400,1400
シーサイド物流,2023Q4,BS,預け金,6700,9200
シーサイド物流,2023Q4,BS,営業債権,21100,22900
シーサイド物流,2023Q4,BS,棚卸資産,7500,8500
シーサイド物流,2023Q4,BS,その他流動資産,3400,4100
シーサイド物流,2023Q4,BS,有形固定資産(純額),40900,43800
シーサイド物流,2023Q4,BS,投資その他の資産,6700,7100
シーサイド物流,2023Q4,BS,営業債務,6800,9200
シーサイド物流,2023Q4,BS,短期借入金,2400,200
シーサイド物流,2023Q4,BS,その他流動負債,3200,3100
シーサイド物流,2023Q4,BS,長期借入金,26700,24300
シーサイド物流,2023Q4,BS,その他固定負債,2200,2300
シーサイド物流,2023Q4,BS,退職給付引当金,8100,8300
シーサイド物流,2023Q4,BS,純資産合計,50300,49600
シーサイド物流,2023Q4,PL,売上高,,74800
シーサイド物流,2023Q4,PL,営業利益,,-800
シーサイド物流,2023Q4,PL,税引前当期純利益,,-700
シーサイド物流,2023Q4,PL,減価償却費,,2600
シーサイド物流,2023Q4,PL,受取利息及び受取配当金,,400
シーサイド物流,2023Q4,PL,支払利息,,300
シーサイド物流,2024Q1,BS,現金及び預金,,1900
シーサイド物流,2024Q1,BS,預け金,,8800
シーサイド物流,2024Q1,BS,営業債権,,25600
シーサイド物流,2024Q1,BS,棚卸資産,,9500
シーサイド物流,2024Q1,BS,その他流動資産,,3600
シーサイド物流,2024Q1,BS,有形固定資産(純額),,47600
シーサイド物流,2024Q1,BS,投資その他の資産,,6900
シーサイド物流,2024Q1,BS,営業債務,,12000
シーサイド物流,2024Q1,BS,短期借入金,,2000
シーサイド物流,2024Q1,BS,その他流動負債,,3000
シーサイド物流,2024Q1,BS,長期借入金,,24200
シーサイド物流,2024Q1,BS,その他固定負債,,2800
シーサイド物流,2024Q1,BS,退職給付引当金,,9100
シーサイド物流,2024Q1,BS,純資産合計,,50800
シーサイド物流,2024Q1,PL,売上高,,78000
シーサイド物流,2024Q1,PL,営業利益,,2400
シーサイド物流,2024Q1,PL,税引前当期純利益,,2400
シーサイド物流,2024Q1,PL,減価償却費,,3900
シーサイド物流,2024Q1,PL,受取利息及び受取配当金,,300
シーサイド物流,2024Q1,PL,支払利息,,300
シーサイド物流,2024Q1,PL,法人税等,,800
シーサイド物流,2024Q1,SS,剰余金の配当(配当金の支払額),,400
シーサイド物流,2024Q2,BS,現金及び預金,,500
シーサイド物流,2024Q2,BS,預け金,,7900
シーサイド物流,2024Q2,BS,営業債権,,27500
シーサイド物流,2024Q2,BS,棚卸資産,,8200
シーサイド物流,2024Q2,BS,その他流動資産,,3300
シーサイド物流,2024Q2,BS,有形固定資産(純額),,49500
シーサイド物流,2024Q2,BS,投資その他の資産,,6600
シーサイド物流,2024Q2,BS,営業債務,,10400
シーサイド物流,2024Q2,BS,短期借入金,,6100
シーサイド物流,2024Q2,BS,その他流動負債,,3300
シーサイド物流,2024Q2,BS,長期借入金,,21600
シーサイド物流,2024Q2,BS,その他固定負債,,2400
シーサイド物流,2024Q2,BS,退職給付引当金,,9700
シーサイド物流,2024Q2,BS,純資産合計,,50000
シーサイド物流,2024Q2,PL,売上高,,81700
シーサイド物流,2024Q2,PL,営業利益,,-200
シーサイド物流,2024Q2,PL,税引前当期純利益,,-800
シーサイド物流,2024Q2,PL,減価償却費,,2300
シーサイド物流,2024Q2,PL,受取利息及び受取配当金,,300
シーサイド物流,2024Q2,PL,支払利息,,900
シーサイド物流,2024Q3,BS,現金及び預金,,500
シーサイド物流,2024Q3,BS,預け金,,5700
シーサイド物流,2024Q3,BS,営業債権,,30800
シーサイド物流,2024Q3,BS,棚卸資産,,9900
シーサイド物流,2024Q3,BS,その他流動資産,,3000
シーサイド物流,2024Q3,BS,有形固定資産(純額),,51600
シーサイド物流,2024Q3,BS,投資その他の資産,,7500
シーサイド物流,2024Q3,BS,営業債務,,8200
シーサイド物流,2024Q3,BS,短期借入金,,10600
シーサイド物流,2024Q3,BS,その他流動負債,,4100
シーサイド物流,2024Q3,BS,長期借入金,,21400
